date,open,high,low,close,volume
2022-01-03,1832.92,1837.34,1826.66,1835.59,31182
2022-01-04,1840.61,1845.21,1829.4,1838.11,11459
2022-01-05,1840.87,1847.03,1837.16,1839.57,19972
2022-01-06,1853.5,1863.08,1846.13,1855.21,28468
2022-01-07,1847.91,1849.44,1844.63,1848.02,20601
2022-01-10,1883.66,1892.47,1879.78,1886.12,16797
2022-01-11,1881.64,1888.17,1875.7,1884.4,14126
2022-01-12,1866.58,1869.34,1861.63,1863.96,30471
2022-01-13,1879.7,1883.02,1876.76,1879.69,13397
2022-01-14,1857.46,1860.36,1851.58,1854.29,20390
2022-01-17,1842.54,1847.26,1835.21,1839.49,23261
2022-01-18,1853.59,1855.57,1849.4,1852.2,8832
2022-01-19,1831.1,1833.13,1826.9,1830.31,9574
2022-01-20,1825.48,1833.28,1820.19,1823.24,25936
2022-01-21,1818.27,1819.41,1815.23,1817.31,27503
2022-01-24,1823.96,1829.62,1818.0,1825.89,20046
2022-01-25,1795.35,1800.47,1792.76,1797.31,11186
2022-01-26,1786.69,1797.08,1782.3,1791.21,29026
2022-01-27,1774.3,1779.89,1767.75,1775.5,20305
2022-01-28,1761.78,1771.03,1755.15,1765.87,28480
2022-01-31,1795.09,1796.94,1788.38,1793.11,10279
2022-02-01,1808.99,1810.3,1803.97,1807.62,10791
2022-02-02,1801.36,1806.69,1798.05,1801.28,23954
2022-02-03,1805.94,1810.15,1803.71,1806.93,21139
2022-02-04,1772.69,1775.33,1770.16,1771.19,16952
2022-02-07,1792.73,1795.57,1782.13,1789.43,11786
2022-02-08,1789.38,1797.34,1785.55,1788.83,28753
2022-02-09,1776.42,1782.42,1769.68,1772.9,18014
2022-02-10,1789.65,1794.42,1787.21,1788.88,21906
2022-02-11,1784.8,1789.73,1775.89,1781.51,34794
2022-02-14,1776.66,1784.8,1773.25,1779.82,16530
2022-02-15,1782.47,1790.76,1779.88,1787.35,15086
2022-02-16,1818.44,1822.02,1815.59,1817.01,12840
2022-02-17,1799.31,1804.86,1797.41,1802.02,34239
2022-02-18,1826.18,1828.77,1823.29,1826.45,26296
2022-02-21,1807.7,1811.13,1804.52,1805.85,29711
2022-02-22,1795.87,1802.86,1793.66,1797.91,21191
2022-02-23,1787.52,1788.34,1785.53,1786.43,22990
2022-02-24,1784.73,1799.42,1778.72,1790.59,24093
2022-02-25,1782.33,1784.69,1779.84,1780.93,10946
2022-02-28,1781.22,1785.21,1774.75,1778.5,31428
2022-03-01,1799.97,1803.14,1794.69,1797.8,31422
2022-03-02,1779.93,1786.15,1776.65,1779.56,10842
