entry_date,exit_date,entry_price,exit_price,stop_price,tp_price,size_oz,gross_pnl,commission,net_pnl,equity,result
2024-10-03,2024-10-08,2657.1,2631.31,2631.31,2700.08,3.7635,-97.06,2.0,-99.06,99900.94,loss
2024-10-15,2024-10-18,2661.4,2709.73,2632.4,2709.73,3.7537,181.4,2.0,179.4,100080.35,win
2024-10-21,2024-10-30,2723.1,2772.71,2693.33,2772.71,3.6752,182.32,2.0,180.32,100260.67,win
2024-10-30,2024-10-31,2788.5,2757.83,2757.83,2839.62,3.5955,-110.28,2.01,-112.28,100148.39,loss
2024-10-31,2024-11-06,2738.3,2703.93,2703.93,2795.59,3.6573,-125.71,2.0,-127.71,100020.67,loss
2024-11-06,2024-11-11,2667.6,2630.5,2630.5,2729.43,3.7495,-139.1,2.0,-141.1,99879.57,loss
2024-11-11,2024-11-14,2611.2,2568.4,2568.4,2682.54,3.825,-163.72,2.0,-165.72,99713.85,loss
2024-11-14,2024-11-20,2568.2,2638.04,2526.3,2638.04,3.8826,271.16,1.99,269.17,99983.02,win
2024-11-25,2024-12-10,2616.8,2696.17,2569.18,2696.17,3.8208,303.24,2.0,301.24,100284.26,win
2024-12-12,2024-12-17,2687.5,2636.67,2636.67,2772.21,3.7315,-189.66,2.01,-191.67,100092.6,loss
2024-12-17,2024-12-18,2644.4,2596.53,2596.53,2724.18,3.7851,-181.17,2.0,-183.17,99909.42,loss
2024-12-19,2025-01-09,2592.2,2680.13,2539.44,2680.13,3.8542,338.92,2.0,336.92,100246.34,win
2025-01-13,2025-01-16,2673.5,2746.65,2629.61,2746.65,3.7496,274.3,2.0,272.3,100518.64,win
2025-01-16,2025-01-30,2746.4,2820.13,2702.16,2820.13,3.66,269.86,2.01,267.85,100786.49,win
2025-02-03,2025-02-10,2833.9,2915.19,2785.12,2915.19,3.5565,289.11,2.02,287.1,101073.58,win
2025-02-14,2025-03-13,2883.6,2979.44,2826.09,2979.44,3.5051,335.94,2.02,333.92,101407.5,win
2025-03-24,2025-03-28,3013.1,3092.07,2965.72,3092.07,3.3656,265.77,2.03,263.74,101671.25,win
2025-03-31,2025-04-03,3122.8,3075.16,3075.16,3202.21,3.2558,-155.12,2.03,-157.15,101514.09,loss
2025-04-04,2025-04-10,3012.0,3125.32,2944.01,3125.32,3.3703,381.91,2.03,379.88,101893.98,win
2025-04-23,2025-05-15,3276.3,3166.34,3166.34,3459.56,3.11,-341.97,2.04,-344.01,101549.97,loss
2025-05-15,2025-06-13,3220.7,3408.72,3107.89,3408.72,3.153,592.85,2.03,590.82,102140.79,win
2025-06-16,2025-06-24,3396.4,3306.81,3306.81,3545.71,3.0073,-269.41,2.04,-271.45,101869.33,loss
2025-06-27,2025-07-21,3273.7,3402.14,3196.64,3402.14,3.1117,399.66,2.04,397.62,102266.95,win
2025-07-23,2025-07-25,3394.1,3333.17,3333.17,3495.66,3.0131,-183.6,2.05,-185.65,102081.31,loss
2025-07-25,2025-07-30,3334.0,3274.0,3274.0,3434.01,3.0618,-183.72,2.04,-185.77,101895.54,loss
2025-08-04,2025-08-20,3374.4,3311.41,3311.41,3479.39,3.0197,-190.22,2.04,-192.25,101703.29,loss
2025-08-22,2025-08-29,3374.4,3465.45,3319.77,3465.45,3.014,274.43,2.03,272.39,101975.68,win
2025-09-02,2025-09-09,3549.4,3644.57,3492.3,3644.57,2.873,273.43,2.04,271.39,102247.07,win
2025-09-11,2025-09-22,3636.9,3734.34,3578.43,3734.34,2.8114,273.95,2.04,271.9,102518.97,win
2025-09-23,2025-10-01,3780.6,3882.03,3719.74,3882.03,2.7117,275.04,2.05,272.99,102791.97,win
2025-10-01,2025-10-07,3867.5,3980.43,3799.74,3980.43,2.6578,300.16,2.06,298.11,103090.07,win
2025-10-07,2025-10-13,3976.6,4097.64,3903.98,4097.64,2.5924,313.78,2.06,311.72,103401.79,win
2025-10-20,2025-10-21,4336.4,4214.04,4214.04,4540.34,2.3845,-291.78,2.07,-293.85,103107.95,loss
2025-10-22,2025-12-12,4044.4,4286.93,3898.88,4286.93,2.5494,618.31,2.06,616.25,103724.19,win
2025-12-17,2025-12-23,4347.5,4501.54,4255.08,4501.54,2.3858,367.51,2.07,365.43,104089.62,win
2025-12-23,2025-12-29,4482.8,4395.44,4395.44,4628.4,2.322,-202.85,2.08,-204.93,103884.69,loss
2025-12-29,2026-01-12,4325.1,4496.05,4222.53,4496.05,2.4019,410.6,2.08,408.52,104293.21,win
2026-01-16,2026-01-20,4588.4,4735.94,4499.88,4735.94,2.273,335.36,2.09,333.27,104626.49,win
2026-01-26,2026-01-28,5079.7,5271.48,4964.63,5271.48,2.0597,395.01,2.09,392.92,105019.4,win
2026-01-30,2026-02-02,4713.9,4479.89,4479.89,5103.91,2.2279,-521.34,2.1,-523.44,104495.96,loss
2026-02-02,2026-02-04,4622.5,5066.05,4356.37,5066.05,2.2606,1002.68,2.09,1000.59,105496.55,win
2026-02-12,2026-03-02,4923.7,5371.5,4655.02,5371.5,2.1426,959.46,2.11,957.35,106453.9,win
2026-03-03,2026-03-18,5107.4,4883.79,4883.79,5480.08,2.0843,-466.06,2.13,-468.19,105985.71,loss
2026-03-19,2026-03-23,4600.7,4403.64,4403.64,4929.13,2.3037,-453.96,2.12,-456.08,105529.64,loss
2026-03-23,2026-03-24,4404.1,4399.3,4172.28,4790.46,2.3962,-11.5,2.11,-13.61,105516.02,loss
