feature,importance
49,0.020395739
60,0.01919864
48,0.018933004
26,0.018625647
46,0.01813144
32,0.01772033
52,0.0169291
16,0.016830709
51,0.016800623
14,0.016768636
45,0.016551262
20,0.016452389
6,0.016308563
24,0.016185664
34,0.016070329
61,0.015971381
62,0.01579757
18,0.015676875
36,0.015643584
47,0.015533283
23,0.015400487
8,0.015368973
50,0.015323405
42,0.01528055
9,0.015136249
30,0.015135957
29,0.015071301
11,0.015066466
44,0.015045915
27,0.015028121
22,0.015008112
65,0.014927719
21,0.014921943
28,0.014905174
56,0.014889221
53,0.014801449
57,0.014755045
0,0.014750899
33,0.01472682
38,0.014687851
17,0.014636987
5,0.01459065
41,0.014528703
40,0.014495397
55,0.014476019
54,0.014446691
58,0.014402043
12,0.0143643115
64,0.014302808
63,0.014289617
35,0.014206039
7,0.014203203
31,0.014168477
37,0.014147175
19,0.014115036
13,0.014002292
10,0.013972393
39,0.013956888
25,0.013944686
15,0.0139288055
59,0.0134790335
3,0.013341469
1,0.013208657
4,0.013183743
43,0.010746961
2,0.010105467
